A,E_level_(keV),tau_(fs),tau_err_up (fs),tau_err_down (fs),E_g_(keV),E_g_err_(keV),I,I_err,alpha,alpha_err,multipolarity,delta,delta_err_up,delta_err_down,
172,78.7427,2380447,72135,72135,78.7426,0.0006,100,,8.4,,E2,,,,
172,260.268,176009,11542,11542,181.528,0.004,100,,0.376,,E2,,,,
172,539.977,23949,2164,2164,279.717,0.005,100,,0.092,,E2,,,,
172,1042.914,4761,1298,1298,964.09,0.05,100,,,,E2,,,,
,,,,,,,0.173,0.016,,,,,,,E0 transition
172,1117.874,5338,577,577,857.636,0.007,100,3,,,E2,,,,
,,,,,1039.149,0.01,100,3,,,M1/E2,2.3,0.5,0.3,
,,,,,1117.94,0.03,36,3,,,E2,,,,
172,1405.008,605932,86562,86562,250.035,0.007,6,0.4,,,E1,,,,
,,,,,287.139,0.003,100,14,,,E2,,,,
,,,,,1326.1,0.07,88,5,,,E2,,,,
,,,,,,,7.2,0.3,,,,,,,E0 transition
,,,,,,,4.5,0.2,,,,,,,E0 transition
172,1476.784,69249,15870,15870,321.82,0.11,0.6,0.16,0.017,,E1,,,,
,,,,,1397.92,0.05,100,3,,,M1/E2,0.8,0.5,0.5,
,,,,,,,1.22,0.15,0.044,,,,,,359 keV transition
,,,,,,,12,2,,,,,,,1216 keV transition
,,,,,,,36,1,,,,,,,1477 keV transition
172,1550.43,5193702147,144269504,144269504,174.7,1,100,4,0.079,,E1,,,,
,,,,,197.6,0.3,7,1,,,M1/E2,,,,delta unknown
,,,,,1010.45,0.06,34.8,1.4,,,E1/M2,-0.38,0.05,0.05,
